(fail) 3-tier queue fallback > startQueue and stopQueue are no-ops when not in pg-boss mode [0.16ms]
(fail) AI Fabric Cost Optimizer — Phase 2 > should calculate savings correctly (70 cache, 30 AI) [0.76ms]
(fail) AI Fabric Cost Optimizer — Phase 2 > should handle zero-cost AI calls (free models) [0.24ms]
(fail) AI Fabric Gateway — Phase 1 > should log every request to AIRequestLog [50.67ms]
(fail) AI Fabric Gateway — Phase 1 > should resolve via cache on second identical call [0.48ms]
(fail) AI Fabric Gateway — Phase 1 > should store and retrieve AI memory [0.29ms]
(fail) AI Fabric Provider Optimizer — Phase 3 > should seed provider configs without error [0.29ms]
(fail) AI Fabric: Budget Engine (Phase 6) > checkBudgetGate should return false when hard stop enabled and at limit [0.01ms]
(fail) AI Fabric: Budget Engine (Phase 6) > should create BudgetConfig if it does not exist [0.01ms]
(fail) AI Fabric: Budget Engine (Phase 6) > should create notification when spend crosses alert threshold [0.02ms]
(fail) AI Fabric: Budget Engine (Phase 6) > should ignore zero or negative spend [0.01ms]
(fail) AI Fabric: Budget Engine (Phase 6) > should increment currentSpendUsd on each recordSpend call [0.03ms]
(fail) AI Fabric: Budget Engine (Phase 6) > should not create duplicate alerts in same month [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > (unnamed) [0.03ms]
(fail) AI Fabric: Scheduler (Phase 5) > borrowed slots should not exceed busy company's tier ceiling [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > each company should get base allocation equal to workerPoolSize [0.04ms]
(fail) AI Fabric: Scheduler (Phase 5) > idle company's slots should be distributed to busy companies [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > previously idle company should reclaim slots when it becomes active [0.02ms]
(fail) AI Fabric: Scheduler (Phase 5) > should deny slot when at capacity (running jobs = allocation) [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > should grant slot when under allocation [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > should pick the company with highest queue depth [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > should return null when no company needs capacity [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > (unnamed) [0.06ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > TIER_WORKER_LIMITS should have correct values [0.39ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > enterprise plan should default to 64 workers [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > planToTier maps plan strings correctly [0.02ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should NOT scale up when system resources > 80% [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should create a new runtime with tier default pool size [0.02ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should not scale below 1 worker [0.02ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should not scale beyond tier ceiling [0.04ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should return existing runtime without changing pool size [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should return worker counts for all active runtimes [0.02ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should scale down gradually when queue is empty for sustained period [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should scale up when queue exceeds 200 for sustained period [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > trial plan should cap at 1 worker [0.02ms]
(fail) API route isolation > API with empty string companySlug treated as no filter [0.06ms]
(fail) API route isolation > API with null companySlug and restricted user returns intersection [0.07ms]
(fail) API route isolation > forbidden scope should block the request [0.07ms]
(fail) Seeder Edge Case 10 > all invoices have valid totals for edge case 10 [6.12ms]
(fail) Seeder Edge Case 10 > generates companies with valid IDs for edge case 10 [5.86ms]
(fail) Seeder Edge Case 10 > products have valid pricing for edge case 10 [5.99ms]
(fail) Seeder Edge Case 11 > all invoices have valid totals for edge case 11 [6.26ms]
(fail) Seeder Edge Case 11 > generates companies with valid IDs for edge case 11 [6.38ms]
(fail) Seeder Edge Case 11 > products have valid pricing for edge case 11 [6.54ms]
(fail) Seeder Edge Case 12 > all invoices have valid totals for edge case 12 [5.75ms]
(fail) Seeder Edge Case 12 > generates companies with valid IDs for edge case 12 [5.92ms]
(fail) Seeder Edge Case 12 > products have valid pricing for edge case 12 [5.82ms]
(fail) Seeder Edge Case 13 > all invoices have valid totals for edge case 13 [5.52ms]
(fail) Seeder Edge Case 13 > generates companies with valid IDs for edge case 13 [5.72ms]
(fail) Seeder Edge Case 13 > products have valid pricing for edge case 13 [5.63ms]
(fail) Seeder Edge Case 17 > all invoices have valid totals for edge case 17 [5.70ms]
(fail) Seeder Edge Case 17 > all invoices have valid totals for edge case 17 [5.88ms]
(fail) Seeder Edge Case 17 > generates companies with valid IDs for edge case 17 [5.89ms]
(fail) Seeder Edge Case 17 > generates companies with valid IDs for edge case 17 [6.06ms]
(fail) Seeder Edge Case 17 > products have valid pricing for edge case 17 [5.85ms]
(fail) Seeder Edge Case 17 > products have valid pricing for edge case 17 [5.87ms]
(fail) Seeder Edge Case 18 > all invoices have valid totals for edge case 18 [5.70ms]
(fail) Seeder Edge Case 18 > generates companies with valid IDs for edge case 18 [6.05ms]
(fail) Seeder Edge Case 18 > products have valid pricing for edge case 18 [5.66ms]
(fail) TelemetryCollector clear > clear then record works [0.10ms]
(fail) TelemetryCollector clear > clear then record works [0.11ms]
(fail) TelemetryCollector getEntries > returns copy not reference [0.18ms]
(fail) TelemetryCollector getEntries > returns copy not reference [0.20ms]
(fail) TelemetryCollector getEntries > returns entries in insertion order [0.27ms]
(fail) TelemetryCollector getEntries > returns entries in insertion order [0.29ms]
(fail) TelemetryCollector tenant isolation > each collector has its own entries [0.18ms]
(fail) TelemetryCollector tenant isolation > each collector has its own entries [0.19ms]
(fail) TelemetryCollector timestamp tracking > entries can have different timestamps [0.07ms]
(fail) TelemetryCollector timestamp tracking > entries can have different timestamps [0.23ms]
(fail) TelemetryCollector timestamp tracking > entries preserve their timestamps [0.20ms]
(fail) TelemetryCollector timestamp tracking > entries preserve their timestamps [0.28ms]
(fail) Validation: amount-accuracy 4 > validates amount-accuracy financial accuracy for 4 [5.98ms]
(fail) Validation: cardinality 14 > validates cardinality financial accuracy for 14 [6.05ms]
(fail) Validation: data-integrity 0 > validates data-integrity financial accuracy for 0 [5.44ms]
(fail) Validation: date-consistency 3 > validates date-consistency financial accuracy for 3 [5.71ms]
(fail) Validation: enum-validity 11 > validates enum-validity financial accuracy for 11 [32.47ms]
(fail) Validation: field-completeness 9 > validates field-completeness financial accuracy for 9 [5.71ms]
(fail) Validation: id-uniqueness 2 > validates id-uniqueness financial accuracy for 2 [6.30ms]
(fail) Validation: id-uniqueness 2 > validates id-uniqueness financial accuracy for 2 [6.40ms]
(fail) Validation: null-safety 15 > validates null-safety financial accuracy for 15 [5.73ms]
(fail) Validation: range-validity 10 > validates range-validity financial accuracy for 10 [6.00ms]
(fail) Validation: reference-integrity 13 > validates reference-integrity financial accuracy for 13 [5.79ms]
(fail) Validation: relational-validity 1 > validates relational-validity financial accuracy for 1 [5.69ms]
(fail) Validation: report-completeness 19 > validates report-completeness financial accuracy for 19 [6.16ms]
(fail) Validation: statistical-validity 18 > validates statistical-validity financial accuracy for 18 [5.78ms]
(fail) Validation: tax-calculation 5 > validates tax-calculation financial accuracy for 5 [6.44ms]
(fail) Validation: tax-calculation 5 > validates tax-calculation financial accuracy for 5 [7.32ms]
(fail) Validation: type-coverage 8 > validates type-coverage financial accuracy for 8 [6.74ms]
(fail) assertCompanyAccess > employee with mismatched slug returns false [0.03ms]
(fail) assertCompanyAccess > employee without slug uses unrestricted check (false) [0.02ms]
(fail) buildTenantScope — custom slugField > custom slugField in impossible condition [0.03ms]
(fail) buildTenantScope — custom slugField > custom slugField in intersection mode [0.05ms]
(fail) buildTenantScope — restricted employee > multi-company user cannot request company not in their list [0.03ms]
(fail) buildTenantScope — restricted employee > multi-company user gets intersection of all companies [0.06ms]
(fail) buildTenantScope — restricted employee > restricted user effectiveSlug is null when forbidden [0.03ms]
(fail) buildTenantScope — restricted employee > restricted user unrestricted is always false [0.03ms]
(fail) buildTenantScope — restricted employee > returns forbidden=true for employee requesting other company [0.10ms]
(fail) buildTenantScope — restricted employee > returns intersection for restricted user with no slug [0.12ms]
(fail) buildTenantScope — restricted employee > user with no companies gets impossible condition [0.04ms]
(fail) buildTenantScope — restricted employee > user with no companies requesting specific company is forbidden [0.03ms]
(fail) calculateMetrics > should have model distribution with entries [0.10ms]
(fail) calculateMetrics > should have provider distribution summing to total requests [0.27ms]
(fail) calculateMetrics > should have provider distribution with entries [0.16ms]
(fail) canAccessCompany > employee cannot access nonexistent company [0.03ms]
(fail) canAccessCompany > employee cannot access other company [0.06ms]
(fail) canAccessCompany > multi-company user cannot access unassigned company [0.03ms]
(fail) canAccessCompany > user with no companies cannot access any company [0.06ms]
(fail) getPgBossStats > returns null when pg-boss is not running [0.06ms]
(fail) hasUnrestrictedScope > employee=false [0.03ms]
(fail) hasUnrestrictedScope > viewer=false [0.03ms]
(fail) pg-boss initialization > getWorkerId returns a unique worker ID [0.12ms]
(fail) pg-boss initialization > startPgBoss returns false when DATABASE_URL is not set [0.12ms]
(fail) queue config generation > generates correct config for ai-jobs queue [0.23ms]
(fail) recoverPendingJobs > returns errors when pg-boss is not available [0.11ms]
(fail) resolveAuth > rejects a blacklisted access token (SEC-C1) [0.25ms]
(fail) resolveAuth > returns 401 when access token is invalid and no refresh [0.07ms]
(fail) resolveAuth > returns 401 when no cookies [0.11ms]
(fail) resolveAuth > returns 401 when refresh token is invalid [0.08ms]
(fail) resolveAuth > returns user for valid access token [0.49ms]
(fail) resolveAuth — token version mismatch > returns session revoked when tokenVersion differs [0.52ms]
